feature_id,name,evaluated,evidence_id,exposures,family,folds,max_score,mean_model_gain,mean_permutation_sd,mean_score,mean_split_importance,median_p,median_q,min_score,not_evaluable,q_supported,role,support_fraction,supported
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:univariable:treatment,15,univariable,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",0.5926806437845906,,,0.20140569085065668,,0.7048469264654189,0.837504717571948,0.01729319630820851,0,0,treatment,0.0,0
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:univariable:outcome,15,univariable,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",1.9305942386155281,,,0.9989760172916223,,0.13325293447381067,0.3683687196854076,0.07682126194056474,0,3,outcome,0.26666666666666666,4
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:univariable:effect,15,univariable,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 1}]",2.262170383139275,,,0.6034592924250057,,0.3663320926840602,0.7500442724799954,0.0487554111265015,0,0,effect,0.13333333333333333,2
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:penalized_main:treatment,15,penalized_main,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",0.0,0.18654110281262243,,0.0,,,,0.0,0,0,treatment,0.0,0
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:penalized_main:outcome,15,penalized_main,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 1}]",0.03552376529959712,0.12679210166098248,,0.005097718777916018,,,,0.0,0,0,outcome,0.2,3
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:penalized_interactions:outcome,15,penalized_interactions,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 1}]",0.03061530296535573,0.1308233952231425,,0.004257617770272125,,,,0.0,0,0,outcome,0.2,3
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:penalized_interactions:effect,15,penalized_interactions,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",0.018484674405706874,0.0007557266020012757,,0.001232311627047125,,,,0.0,0,0,effect,0.06666666666666667,1
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:orthogonal_linear:effect,15,orthogonal_linear,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",0.0,8.42322107459011e-05,,0.0,,,,0.0,0,0,effect,0.0,0
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:univariable_rlearner:effect,15,univariable_rlearner,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 0}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 0}]",0.0016337343916818514,,,-0.0003807496496378682,,,,-0.0057998649804268665,0,0,effect,0.6,9
outer_001_feature_001,absolute_lymphocyte_count,15,multi:outer_001_feature_001:predictive_forest:treatment,15,predictive_forest,"[{""evaluated"": 3, ""inner_fold"": 1, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 2, ""supported"": 1}, {""evaluated"": 3, ""inner_fold"": 3, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 4, ""supported"": 3}, {""evaluated"": 3, ""inner_fold"": 5, ""supported"": 2}]",0.009486167653395494,0.10837065423059776,0.0030322697846622794,0.0030253268095288563,0.054523102490402375,,,-0.003937072423768247,0,0,treatment,0.8,12
